imgUrl,questionStr,answerGroups,answerQuestions,question_id
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000480779.jpg""","""What is the food item with the green colors?""","[[{""id"":""g0.5"",""content"":""lettuce""}],[{""id"":""g1.1"",""content"":""garnish""}]]","[""What is the bottom left food item with the green colors?"",""What is the top right food item with the green colors?""]",480779000
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000306621.jpg""","""What is red in the picture?""","[[{""id"":""g0.5"",""content"":""sauce""}],[{""id"":""g2.0"",""content"":""sweet potato""}]]","[""What is read and liquid in the picture?"",""What vegetable is red in the picture?""]",306621004
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000448653.jpg""","""What type of vegetable is on the plate?""","[[{""id"":""g0.0"",""content"":""celery""}],[{""id"":""g1.1"",""content"":""carrots""}]]","[""What type of green vegetable is on the plate?"",""What type of orange vegetable is on the plate?""]",448653002
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000297665.jpg""","""What type of dessert is this?""","[[{""id"":""g0.0"",""content"":""fruit""}],[{""id"":""g1.5"",""content"":""fried""}],[{""id"":""g2.1"",""content"":""donuts & fruit""}]]","[""What type of non fried dessert is this?"",""How is the dessert is on the right of the plate made?"",""What whole type of dessert is this?""]",297665013
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000012556.jpg""","""What is the slot for?""","[[{""id"":""g0.3"",""content"":""parking payment""}],[{""id"":""g1.0"",""content"":""change""}],[{""id"":""g2.2"",""content"":""credit card""}]]","[""What is the small central slot for?"",""What is the open bottom right slot for?"",""What is the wide leftmost slot for?""]",12556002
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000203881.jpg""","""What fruit is on the newspaper?""","[[{""id"":""g0.2"",""content"":""limes""}],[{""id"":""g1.0"",""content"":""limes and starfruit""}],[{""id"":""g2.1"",""content"":""banana""}],[{""id"":""g3.0"",""content"":""mangos""}]]","[""What small green fruit is on the newspaper?"",""What fruits are on the newspaper?"",""What yellow fruit is on the newspaper?"",""What round orange fruit is on the newspaper?""]",203881021
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000252602.jpg""","""What condiment is on the hot dogs?""","[[{""id"":""g0.1"",""content"":""ketchup""}],[{""id"":""g1.1"",""content"":""relish""}],[{""id"":""g2.1"",""content"":""bacon, onions, bbq""}]]","[""What sauce condiment is on the hot dogs?"",""What vegetable condiment is on the hot dogs?"",""What condiments are on the hot dogs?""]",252602002
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000466713.jpg""","""What type of boat is this?""","[[{""id"":""g0.4"",""content"":""rowboat""}],[{""id"":""g1.1"",""content"":""sailboat""}]]","[""What type of boat is the small one near the front?"",""What type of boat are the boats in the background?""]",466713012
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000333663.jpg""","""What is the boy holding in his hands?""","[[{""id"":""g0.2"",""content"":""slim jim""}],[{""id"":""g1.4"",""content"":""phone""}]]","[""What is the boy holding in his right hand?"",""What is the boy holding in his left hand?""]",333663002
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000413984.jpg""","""What is the white object in the corner?""","[[{""id"":""g0.0"",""content"":""door""}],[{""id"":""g1.3"",""content"":""toaster""}],[{""id"":""g2.0"",""content"":""window""}]]","[""What is the white object in the left corner of the picture?"",""What is the white object in the corner of the kitchen?"",""What is the white object in the right corner of the picture?""]",413984001
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000214955.jpg""","""What color is the topping on the top of the pizza?""","[[{""id"":""g0.0"",""content"":""black""}],[{""id"":""g1.0"",""content"":""red""}]]","[""What color are the olives on the top of the pizza?"",""What color are the tomatoes on the top of the pizza?""]",214955005
